title,description,src_code,,Language,License,Modified,Num. reg,Publisher
Monthly consumption by municipality,"Monthly consumption by district, municipality, parish and voltage level; history since Nov-2020.",3-consumos-faturados-por-municipio-ultimos-10-anos,,pt,CC BY 4.0,7 September 2024 17:33,"196,335 items",E-REDES
Monthly consumption by zip code,Total monthly consumption by zip code; history since Nov-2020.,02-consumos-faturados-por-codigo-postal-ultimos-5-anos,,pt,CC BY 4.0,7 September 2024 17:30,"20,835 items",E-REDES
Service continuity indicators by municipality,"General service continuity indicators by municipality, with details of long interruptions (accidental + foreseen) for HV, MV and BT and short interruptions (accidental + foreseen) for HV and MV.",12-continuidade-de-servico-indicadores-gerais-de-continuidade-de-servico,,pt,CC BY 4.0,4 September 2024 16:37,"11,120 items",E-REDES
"Characterization of Consumption Points (CPEs), with active contracts","Characterization of consumption points with active contracts, by voltage level, location and type of installation.",20-caracterizacao-pes-contrato-ativo,,pt,CC BY 4.0,28 August 2024 12:25,"393,706 items",E-REDES
Total production Units for Self-Consumption,"Total number of Production Units for Self-Consumption (UPAC) per municipality, per power level and total installed power; quarterly.",8-unidades-de-producao-para-autoconsumo,,pt,CC BY 4.0,15 August 2024 20:31,"60,227 items",E-REDES
Characterization of Public Lighting luminaires,"Characterization of public lighting by District, county and parish. Identification of the number of luminaires, technology used and installed power.",cadastro_iluminacao_publica,,pt,CC BY 4.0,31 July 2024 17:59,"9,997 items",E-REDES
Rede Inteligente,,rede-inteligente,,pt,,25 July 2024 12:19,"283,754 items",
Hourly Consumption by Postal Code - 4 Digits,Hourly consumption by postal code.,consumos_horario_codigo_postal,,pt,CC BY 4.0,16 July 2024 12:41,"3,727,439 items",E-REDES
Connection points for Electric Vehicle Charging Stations,Location by region of connection points for Electric Vehicle Charging Stations. Information on the number of connection points for charging stations and maximum admissible connection power.,postos_carregamento_ves,,pt,CC BY 4.0,28 June 2024 11:15,"18,360 items",E-REDES
Number of low voltage consumption locations with Remote Reads,"Number of low voltage consumption sites with remote readings collected from smart meters, by district, municipality and parish. History >2022",23-leituras-recolhidas-remotamente,,pt,CC BY 4.0,28 June 2024 10:15,"74,163 items",E-REDES
Number of remote work orders carried out,"Number of remote service orders (OSs) by type of service, by district, municipality and parish; monthly; history >2022",15-ordens-de-servico,,pt,CC BY 4.0,27 June 2024 19:57,"200,564 items",E-REDES
Number of low voltage delivery points with collection of Load Diagrams,"Number of low voltage consumption sites with collection of load diagrams, by district, municipality and parish (incl. PCVEs). History >2022",22-diagrama-de-carga-por-instalacao,,pt,CC BY 4.0,27 June 2024 19:52,"71,505 items",E-REDES
