htm_link,download_link
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esms.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_pt.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_at.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_at.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_bg.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_bg.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_cy.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_cy.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_cz.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_cz.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_dk.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_dk.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_ee.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_ee.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_hu.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_hu.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_ie.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_ie.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_is.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_is.sdmx.zip
https://ec.europa.eu/eurostat/cache/metadata/en/aact_esmsea_lt.htm,https://ec.europa.eu/eurostat/api/dissemination/files?file=metadata/aact_esmsea_lt.sdmx.zip
