"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"Database by themes"	"data"	"folder"	" "	" "	" "	" "	
"    General and regional statistics"	"general"	"folder"	" "	" "	" "	" "	
"        European and national indicators for short-term analysis"	"euroind"	"folder"	" "	" "	" "	" "	
"            Balance of payments"	"ei_bp"	"folder"	" "	" "	" "	" "	
"                Current account - quarterly data"	"ei_bpm6ca_q"	"table"	"20.02.2024"	"20.02.2024"	"1992-Q1"	"2023-Q4"	271230
"                Financial account - quarterly data"	"ei_bpm6fa_q"	"table"	"20.02.2024"	"20.02.2024"	"1992-Q1"	"2023-Q4"	48728
"                Current account - monthly data"	"ei_bpm6ca_m"	"table"	"26.03.2024"	"26.03.2024"	"1991-01"	"2024-01"	220443
"                Financial account - monthly data"	"ei_bpm6fa_m"	"table"	"26.03.2024"	"26.03.2024"	"1991-01"	"2024-01"	71324
"                International investment position - quarterly data"	"ei_bpm6iip_q"	"table"	"12.01.2024"	"12.01.2024"	"1992-Q4"	"2023-Q3"	59859
"            Business and consumer surveys"	"ei_bcs"	"folder"	" "	" "	" "	" "	
"                Consumer surveys"	"ei_bcs_cs"	"folder"	" "	" "	" "	" "	
"                    Consumers - monthly data"	"ei_bsco_m"	"dataset"	"27.03.2024"	"27.03.2024"	"1980-01"	"2024-03"	309753
"                    Consumers - quarterly data"	"ei_bsco_q"	"dataset"	"27.03.2024"	"30.01.2024"	"1990-Q1"	"2024-Q1"	21300
"                Business surveys - NACE Rev. 2 activity"	"ei_bcs_bs"	"folder"	" "	" "	" "	" "	
"                    Industry - monthly data"	"ei_bsin_m_r2"	"dataset"	"27.03.2024"	"27.03.2024"	"1980-01"	"2024-03"	212839
"                    Industry - quarterly data"	"ei_bsin_q_r2"	"dataset"	"27.03.2024"	"30.01.2024"	"1980-Q1"	"2024-Q1"	105132
"                    Construction - monthly data"	"ei_bsbu_m_r2"	"dataset"	"27.03.2024"	"27.03.2024"	"1980-01"	"2024-03"	265814
"                    Construction - quarterly data"	"ei_bsbu_q_r2"	"dataset"	"27.03.2024"	"30.01.2024"	"1981-Q1"	"2024-Q1"	7333
"                    Retail sale - monthly data"	"ei_bsrt_m_r2"	"dataset"	"27.03.2024"	"27.03.2024"	"1984-01"	"2024-03"	151714
